Date,Total,Month,Day,Year
7-May,146,5,1,2007
7-Jun,135.6,6,1,2007
7-Jul,122.5,7,1,2007
7-Aug,126,8,1,2007
7-Sep,100.5,9,1,2007
7-Oct,103.8,10,1,2007
7-Nov,89.5,11,1,2007
7-Dec,77.8,12,1,2007
8-Jan,77.4,1,1,2008
8-Feb,75,2,1,2008
8-Mar,79.1,3,1,2008
8-Apr,91.5,4,1,2008
8-May,92.3,5,1,2008
8-Jun,110.6,6,1,2008
8-Jul,85.9,7,1,2008
8-Aug,76.3,8,1,2008
8-Sep,70.9,9,1,2008
8-Oct,63.7,10,1,2008
8-Nov,41.5,11,1,2008
8-Dec,41.2,12,1,2008
9-Jan,37.6,1,1,2009
9-Feb,39.2,2,1,2009
9-Mar,45.4,3,1,2009
9-Apr,47.8,4,1,2009
9-May,49.5,5,1,2009
9-Jun,61.3,6,1,2009
9-Jul,56.1,7,1,2009
9-Aug,54,8,1,2009
9-Sep,52.9,9,1,2009
9-Oct,47.9,10,1,2009
9-Nov,42.1,11,1,2009
9-Dec,49.2,12,1,2009
10-Jan,40.4,1,1,2010
10-Feb,45.3,2,1,2010
10-Mar,64.1,3,1,2010
10-Apr,58.9,4,1,2010
10-May,51.1,5,1,2010
10-Jun,59.2,6,1,2010
10-Jul,51.6,7,1,2010
10-Aug,53.7,8,1,2010
10-Sep,48.5,9,1,2010
10-Oct,43.5,10,1,2010
10-Nov,40.9,11,1,2010
10-Dec,47.6,12,1,2010
11-Jan,36.3,1,1,2011
11-Feb,37.7,2,1,2011
11-Mar,54.4,3,1,2011
11-Apr,50.7,4,1,2011
11-May,57.3,5,1,2011
11-Jun,63.8,6,1,2011
11-Jul,52.6,7,1,2011
11-Aug,62.6,8,1,2011
11-Sep,53.2,9,1,2011
11-Oct,52,10,1,2011
11-Nov,51.9,11,1,2011
11-Dec,51.6,12,1,2011
12-Jan,47.8,1,1,2012
12-Feb,53.5,2,1,2012
12-Mar,69.5,3,1,2012
12-Apr,64.1,4,1,2012
12-May,77.7,5,1,2012
12-Jun,75.9,6,1,2012
12-Jul,74.1,7,1,2012
12-Aug,80,8,1,2012
12-Sep,73.7,9,1,2012
12-Oct,77.5,10,1,2012
12-Nov,68.7,11,1,2012
12-Dec,67.2,12,1,2012
13-Jan,65.5,1,1,2013
13-Feb,67.8,2,1,2013
13-Mar,77.7,3,1,2013
13-Apr,92.8,4,1,2013
13-May,97.2,5,1,2013
13-Jun,85.7,6,1,2013
13-Jul,90.2,7,1,2013
13-Aug,87.1,8,1,2013
13-Sep,83.1,9,1,2013
13-Oct,92.5,10,1,2013
13-Nov,73.5,11,1,2013
13-Dec,77.8,12,1,2013
14-Jan,68.6,1,1,2014
14-Feb,72.3,2,1,2014
14-Mar,86.3,3,1,2014
14-Apr,99.1,4,1,2014
14-May,93.8,5,1,2014
14-Jun,95.7,6,1,2014
14-Jul,97.1,7,1,2014
14-Aug,90.3,8,1,2014
14-Sep,92.7,9,1,2014
14-Oct,98.4,10,1,2014
14-Nov,72.8,11,1,2014
14-Dec,85,12,1,2014
15-Jan,71,1,1,2015
15-Feb,78.6,2,1,2015
15-Mar,92.5,3,1,2015
15-Apr,106,4,1,2015
15-May,111.9,5,1,2015
15-Jun,134.8,6,1,2015
